Name,Descripción,Enlace
ACCESIBLE,"Que está al alcance de una persona, sin valerse de medio alguno y sin barreras físicas de por medio.",/taxonomy/term/37/definition
ACCIDENTE,"no deseado, incluidos los descuidos y las fallas de equipos, que da por resultado la muerte, una lesión personal, un daño a la propiedad o deterioro ambiental.",/taxonomy/term/38/definition
ACOMETIDA,"Derivación de la red local del servicio respectivo, que llega hasta el registro de corte del inmueble. En edificios de propiedad horizontal o condominios, la acometida llega hasta el registro de corte general.",/taxonomy/term/39/definition
ACOMETIDA EN BAJA TENSIÓN,Parte de la instalación comprendida entre la red de distribución de la empresa y la caja o cajas generales de protección para suministros en baja tensión.,/taxonomy/term/40/definition
ACOMETIDA EN ALTA TENSIÓN,"Es la parte de la instalación comprendida entre la red existente y el primer elemento de la estación transformadora, seccionamiento, protección o equipo de medida.",/taxonomy/term/41/definition
ACREDITACIÓN,"Procedimiento mediante el cual se reconoce la competencia técnica y la idoneidad de organismos de certificación e inspección, así como laboratorios de ensayo y de metrología.",/taxonomy/term/42/definition
ACTO INSEGURO,Violación de una norma de seguridad ya definida.,/taxonomy/term/43/definition
ADMINISTRACIÓN DE RIESGOS,"La aplicación sistemática de políticas administrativas, procedimientos y prácticas de trabajo, para minimizar o controlar el riesgo.",/taxonomy/term/44/definition
AISLADOR,"Elemento de mínima conductividad eléctrica, diseñado de tal forma que permita dar soporte rígido o flexible a conductores o a equipos eléctricos y aislarlos eléctricamente de otros conductores o de tierra.",/taxonomy/term/45/definition
AISLAMIENTO ELÉCTRICO BÁSICO,Aislamiento aplicado a las partes vivas para prevenir choque eléctrico.,/taxonomy/term/46/definition
AISLAMIENTO FUNCIONAL,Es el necesario para el funcionamiento normal de un aparato y la protección contra contactos directos.,/taxonomy/term/47/definition
AISLAMIENTO REFORZADO,Sistema de aislamiento único que se aplica a las partes vivas peligrosas y provee un grado de protección contra el choque eléctrico y es equivalente al doble aislamiento.,/taxonomy/term/48/definition
AISLAMIENTO SUPLEMENTARIO,"Aislamiento independiente aplicado de manera adicional al aislamiento básico, con el objeto de brindar protección contra choque eléctrico en caso de falla del aislamiento básico.",/taxonomy/term/49/definition
AISLANTE ELÉCTRICO,Material de baja conductividad eléctrica que puede ser tomado como no conductor o aislador.,/taxonomy/term/50/definition
ALAMBRE,"Hilo o filamento de metal, trefilado o laminado, para conducir corriente eléctrica.",/taxonomy/term/51/definition
ALAMBRE DURO,"Aquel que ha sido trefilado en frío hasta su tamaño final, de manera que se acerque a la máxima resistencia a la tracción obtenible.",/taxonomy/term/52/definition
ALAMBRE SUAVE O BLANDO,Aquel que ha sido trefilado o laminado hasta su tamaño final y que luego es recocido para aumentar la elongación.,/taxonomy/term/53/definition
ALTA CONCENTRACIÓN DE PERSONAS,Cuando se pueden concentrar 100 ó mas personas en cada piso o nivel o más de 500 personas en todo el edificio.,/taxonomy/term/54/definition
ALTA TENSIÓN,Es todo suministro con tensión igual o superior a 115 kV.,/taxonomy/term/55/definition
AMBIENTE ELECTROMAGNÉTICO,La totalidad de los fenómenos electromagnéticos existentes en un sitio dado.,/taxonomy/term/56/definition
AMBIENTES MODERADOS,"Se refiere a ambientes con estructuras expuestas a ciclos de humedecimiento y secado, con estructuras en contacto con agua dulce en movimiento, ambientes rurales lluviosos, ambientes urbanos sin alta condensación de gases agresivos y con estructuras en contacto con suelos no agresivos al concreto.",/taxonomy/term/57/definition
AMBIENTES SEVEROS,"Se refiere a ambientes marinos, salinos o con microclima industrial, ambientes urbanos con alta condensación de gases agresivos y con estructuras en contacto con suelos también agresivos.",/taxonomy/term/58/definition
AMPERIO,Unidad de intensidad de la corriente eléctrica equivalente al paso de un culombio por segundo.,/taxonomy/term/59/definition
ANÁLISIS DE RIESGOS,"Conjunto de técnicas para identificar, clasificar y evaluar los factores de riesgo. Es el estudio de consecuencias nocivas o perjudiciales, vinculadas a exposiciones reales o potenciales.",/taxonomy/term/60/definition
APARATO DE MEDIDA,Instrumento destinado a cuantificar o registrar las unidades eléctricas.,/taxonomy/term/61/definition
APOYO,"Nombre genérico dado al dispositivo de soporte de conductores y aisladores de las líneas o redes aéreas. Pueden ser postes, torres u otro tipo de estructura.",/taxonomy/term/62/definition
ARCO ELÉCTRICO,"Haz luminoso producido por el flujo de corriente eléctrica a través de un medio aislante, que produce radiación y gases calientes.",/taxonomy/term/63/definition
AVISO DE SEGURIDAD,"Advertencia de prevención o actuación, fácilmente visible, utilizada con el propósito de informar, exigir, restringir o prohibir.",/taxonomy/term/64/definition
BAJA TENSIÓN,Todo suministro con tensión inferior a 1 Kv.,/taxonomy/term/65/definition
BALIZA,"Señal fija de aeronavegación, que permite la visión diurna o nocturna de un conductor de fase o del cable de guarda.",/taxonomy/term/66/definition
BATERÍA DE ACUMULADORES,Equipo que contiene una o más celdas electroquímicas recargables.,/taxonomy/term/67/definition
BIL,Nivel básico de aislamiento ante impulsos tipo rayo.,/taxonomy/term/68/definition
BOBINA,"Arrollamiento de un cable conductor alrededor de un cilindro sólido o hueco, con lo cual y debido a la especial geometría obtiene importantes características magnéticas.",/taxonomy/term/69/definition
BOMBILLA,"Dispositivo eléctrico que suministra el flujo luminoso, por transformación de energía eléctrica.
Puede ser incandescente si emite luz por calentamiento o luminiscente si hay pasó de corriente a través de un gas.",/taxonomy/term/70/definition
BORNE,"Cada uno de los botones de metal en que suelen terminar ciertas máquinas y aparatos eléctricos, y a los cuales se unen los hilos conductores.",/taxonomy/term/71/definition
BORNE DE TIERRA,Borne que está conectado a la puesta de tierra.,/taxonomy/term/72/definition
BÓVEDA,"Encerramiento dentro de un edificio con acceso sólo para personas calificadas, reforzado para resistir el fuego, sobre o bajo el nivel del terreno, que aloja transformadores de potencia para uso interior aislados en aceite mineral, secos de mas de 112,5 kVA o de tensión nominal mayor a 35 kV. Posee aberturas controladas (para acceso y ventilación) y selladas (para entrada y salida de canalizaciones y conductores).",/taxonomy/term/73/definition
CABLE,Conjunto de alambres sin aislamiento entre sí y entorchado por medio de capas concéntricas.,/taxonomy/term/74/definition
CABLE APANTALLADO,Cable con una envoltura conductora alrededor del aislamiento que le sirve como protección electromecánica. Es lo mismo que cable blindado.,/taxonomy/term/75/definition
CABLE PORTÁTIL DE POTENCIA,"Cable extraflexible, usado para conectar equipos móviles o estacionarios en minas, a una fuente de energía eléctrica.",/taxonomy/term/76/definition
CAJA GENERAL DE PROTECCIÓN,Caja en la que se alojan los elementos de protección de la línea repartidora. Señala el principio de la propiedad de las instalaciones eléctricas de los clientes.,/taxonomy/term/77/definition
CALIBRACIÓN,"Diagnóstico sobre las condiciones de operación de un equipo de medición y los ajustes, si son necesarios, para garantizar la precisión y exactitud de las medidas que con el mismo se generan.",/taxonomy/term/78/definition
CALIDAD,"La totalidad de las características de un ente que le confieren la aptitud para satisfacer necesidades explícitas e implícitas. Es un conjunto de cualidades o atributos, como disponibilidad, precio, confiabilidad, durabilidad, seguridad, continuidad, consistencia, respaldo y percepción.",/taxonomy/term/79/definition
CARGA,La potencia eléctrica requerida para el funcionamiento de uno o varios equipos eléctricos o la potencia que transporta un circuito.,/taxonomy/term/80/definition
CARGA NORMALIZADA,"En referencia a cercas eléctricas. Es la carga que comprende una resistencia no inductiva de 500 ohmios ± 2,5 ohmios y una resistencia variable, la cual es ajustada para maximizar la energía de impulso en la resistencia.",/taxonomy/term/81/definition
CARGA TOTAL DE UN EDIFICIO,"Suma de la carga eléctrica correspondiente a un conjunto de viviendas, a los servicios generales del edificio y las correspondientes a los locales comerciales e industriales.",/taxonomy/term/82/definition
CARGABILIDAD,"Límite térmico dado en capacidad de corriente, para líneas de transporte de energía, transformadores, etc.",/taxonomy/term/83/definition
CAPACIDAD DE CORRIENTE,"Corriente máxima que puede transportar continuamente un conductor en las condiciones de uso, sin superar la temperatura nominal de servicio.",/taxonomy/term/84/definition
CAPACIDAD NOMINAL,"El conjunto de características eléctricas y mecánicas asignadas a un equipo o sistema eléctrico por el diseñador, para definir su funcionamiento bajo unas condiciones especificas.",/taxonomy/term/85/definition
CAPACIDAD O POTENCIA INSTALABLE,"Se considera como capacidad instalable, la capacidad en kVA que puede soportar la acometida a tensión nominal de la red, sin que se eleve la temperatura por encima de 60 ºC en cualquier punto o la carga máxima que soporta la protección de sobrecorriente de la acometida, cuando exista.",/taxonomy/term/86/definition
CAPACIDAD O POTENCIA INSTALADA,"Es la sumatoria de las cargas en kVA continuas y no continuas, diversificadas, previstas para una instalación de uso final. Igualmente, es la potencia nominal de una central de generación, subestación, línea de transmisión o circuito de la red de distribución.",/taxonomy/term/87/definition
CENTRAL O PLANTA DE GENERACIÓN,"Conjunto de equipos electromecánicos debidamente instalados y recursos energéticos destinados a producir energía eléctrica, cualquiera que sea el procedimiento empleado o la fuente de energía primaria utilizada.",/taxonomy/term/88/definition
CENTRO DE TRANSFORMACIÓN,Local en que se alojan uno o varios transformadores necesarios para la transformación de energía eléctrica de media a baja tensión.,/taxonomy/term/89/definition
CERCA ELÉCTRICA,"Barrera para impedir el paso de personas o animales, que forma un circuito de uno o varios conductores sostenidos con aisladores, a una altura tal, que no reciban descargas peligrosas los animales ni las personas.",/taxonomy/term/90/definition
CERTIFICACIÓN,"Procedimiento mediante el cual un organismo expide por escrito o por un sello de conformidad, que un producto, un proceso o servicio cumple un reglamento técnico o una(s) norma(s) de fabricación.",/taxonomy/term/91/definition
CERTIFICACIÓN PLENA,"Proceso de certificación del cumplimiento de los requisitos establecidos en el RETIE a una instalación eléctrica, el cual consiste en la declaración de cumplimiento suscrita por la persona calificada responsable de la construcción de la instalación, acompañada del aval de cumplimiento mediante un dictamen de inspección, previa realización de la inspección de comprobación efectuada por inspector(es) de un organismo de inspección debidamente acreditado.",/taxonomy/term/92/definition
CERTIFICADO DE CONFORMIDAD,"Documento emitido conforme a las reglas de un sistema de certificación, en el cual se puede confiar razonablemente que un producto, proceso o servicio es conforme con una norma, especificación técnica u otro documento normativo específico.",/taxonomy/term/93/definition
CIRCUITO ELÉCTRICO,"Lazo cerrado formado por un conjunto de elementos, dispositivos y equipos eléctricos, alimentados por la misma fuente de energía y con las mismas protecciones contra sobretensiones y sobrecorrientes. No se toman los cableados internos de equipos como circuitos.",/taxonomy/term/94/definition
CLAVIJA,Dispositivo que por inserción en un tomacorriente establece una conexión eléctrica entre los conductores de un cordón flexible y los conductores conectados permanentemente al tomacorriente.,/taxonomy/term/95/definition
COMITÉ TÉCNICO DE NORMALIZACIÓN,"Grupo de personas con diferentes intereses sobre un tema, que se reúnen regular y voluntariamente con el fin de identificar necesidades, analizar documentos y elaborar normas técnicas.",/taxonomy/term/96/definition
COMPATIBILIDAD ELECTROMAGNÉTICA,"Es la capacidad de un equipo o sistema para funcionar satisfactoriamente en su ambiente electromagnético, sin dejarse afectar ni afectar a otros equipos por energía electromagnética radiada o conducida.",/taxonomy/term/97/definition
CONDENACIÓN,Bloqueo de un aparato de corte por medio de un candado o de una tarjeta.,/taxonomy/term/98/definition
CONDICIÓN INSEGURA,Circunstancia potencialmente riesgosa que está presente en el ambiente de trabajo.,/taxonomy/term/99/definition
CONDUCTOR ACTIVO,"Aquella parte destinada, en su condición de operación normal, a la transmisión de electricidad y por tanto sometidas a una tensión en servicio normal.",/taxonomy/term/100/definition
CONDUCTOR A TIERRA,"También llamado conductor del electrodo de puesta a tierra, es aquel que conecta un sistema o circuito eléctrico intencionalmente a una puesta a tierra.",/taxonomy/term/101/definition
CONDUCTOR ENERGIZADO,Todo aquel que no está conectado a tierra.,/taxonomy/term/102/definition
CONDUCTOR NEUTRO,Conductor activo conectado intencionalmente al punto neutro de un transformador o instalación y que contribuye a cerrar un circuito de corriente.,/taxonomy/term/103/definition
CONEXIÓN EQUIPOTENCIAL,"Conexión eléctrica entre dos o más puntos, de manera que cualquier corriente que pase, no genere una diferencia de potencial sensible entre ambos puntos.",/taxonomy/term/104/definition
CONFIABILIDAD,"Capacidad de un dispositivo, equipo o sistema para cumplir una función requerida, en unas condiciones y tiempo dados. Equivale a fiabilidad.",/taxonomy/term/105/definition
CONFORMIDAD,"Cumplimiento de un producto, proceso o servicio frente a uno o varios requisitos o prescripciones.",/taxonomy/term/106/definition
CONSENSO,"Acuerdo general caracterizado porque no hay oposición sostenida a asuntos esenciales, de cualquier parte involucrada en el proceso, y que considera las opiniones de todas las partes y reconcilia las posiciones divergentes, dentro del ámbito del bien común e interés general.",/taxonomy/term/107/definition
CONSIGNACIÓN,"Conjunto de operaciones destinadas a abrir, bloquear y formalizar la intervención sobre un circuito.",/taxonomy/term/108/definition
CONTACTO DIRECTO,Es el contacto de personas o animales con conductores activos de una instalación eléctrica.,/taxonomy/term/109/definition
CONTACTO ELÉCTRICO,"Acción de unión de dos elementos con el fin de cerrar un circuito. Puede ser de frotamiento, de rodillo, líquido o de presión.",/taxonomy/term/110/definition
CONTACTO INDIRECTO,Es el contacto de personas o animales con elementos o partes conductivas que normalmente no se encuentran energizadas. Pero en condiciones de falla de los aislamientos se puedan energizar.,/taxonomy/term/111/definition
CONTAMINACIÓN,"Liberación artificial de sustancias o energía hacia el entorno y que puede causar efectos adversos en el ser humano, otros organismos vivos, equipos o el medio ambiente.",/taxonomy/term/112/definition
CONTRATISTA,"Persona natural o jurídica que responde ante el dueño de una obra, para efectuar actividades de asesoría, interventora, diseño, supervisión, construcción, operación, mantenimiento u otras relacionadas con las líneas eléctricas y equipos asociados, cubiertas por el presente Reglamento Técnico.",/taxonomy/term/113/definition
CONTROL DE CALIDAD,"Proceso de regulación, a través del cual se mide y controla la calidad real de un producto o servicio.",/taxonomy/term/114/definition
CONTROLADOR DE CERCA ELÉCTRICA,Aparato diseñado para suministrar periódicamente impulsos de alta tensión a una cerca conectada a él.,/taxonomy/term/115/definition
CORRIENTE ELÉCTRICA,"Es el movimiento de cargas eléctricas entre dos puntos que no se hallan al mismo potencial, por tener uno de ellos un exceso de electrones respecto al otro.",/taxonomy/term/116/definition
CORRIENTE DE CONTACTO,"Corriente que circula a través del cuerpo humano, cuando está sometido a una tensión de contacto.",/taxonomy/term/117/definition
CORROSIÓN,"Ataque a una materia y destrucción progresiva de la misma, mediante una acción química o electroquímica o bacteriana.",/taxonomy/term/118/definition
CORTOCIRCUITO,Unión de muy baja resistencia entre dos o más puntos de diferente potencial del mismo circuito.,/taxonomy/term/119/definition
DAÑO,Consecuencia material de un accidente.,/taxonomy/term/120/definition
DERECHOS DE ACOMETIDA,Compensación económica que reciben las empresas suministradoras por las instalaciones de extensión y responsabilidad necesarias para atender la demanda de nuevos suministros y los ya existentes.,/taxonomy/term/121/definition
DERECHOS DE CONEXIÓN,"Cantidad que tiene derecho a percibir la empresa suministradora por la conexión de sus instalaciones, así como por la conexión o desconexión del equipo de medida.",/taxonomy/term/122/definition
DERIVACIÓN INDIVIDUAL,"Parte de la instalación de enlace que une la línea repartidora con las instalaciones interiores del cliente y que, iniciándose en el embarrado general, comprende los fusibles de seguridad, el conjunto de medida y los dispositivos de mando y protección.",/taxonomy/term/123/definition
DESASTRE,Situación catastrófica súbita que afecta a gran número de personas.,/taxonomy/term/124/definition
DESCARGA DISRUPTIVA,"Falla de un aislamiento bajo un esfuerzo eléctrico, por superarse un nivel de tensión determinado que hace circular una corriente. Se aplica al rompimiento del dieléctrico en sólidos, líquidos o gases y a la combinación de estos.",/taxonomy/term/125/definition
DESCUIDO,Olvido o desatención de alguna regla de trabajo.,/taxonomy/term/126/definition
DIELÉCTRICO,Material de baja conductividad eléctrica que puede ser tomado como no conductor o aislador.,/taxonomy/term/127/definition
DISCRIMINACIÓN HORARIA,"Mecanismo que consiste en separar, mediante los contadores adecuados, los consumos de energía en períodos o espacios de tiempo previamente establecidos por el comercializador (horas punta, valle, llano, días pico al año, días altos al año, etc.).",/taxonomy/term/128/definition
DISPONIBILIDAD,Certeza de que un equipo o sistema sea operable en un tiempo dado. Cualidad para operar normalmente.,/taxonomy/term/129/definition
