 --------------------------- ------------------------------------------------------------------------------------ --------- --------------- 
  Package                     Name                                                                                 Status    Version        
 --------------------------- ------------------------------------------------------------------------------------ --------- --------------- 
  Core                        Automated Cron (automated_cron)                                                      Enabled   10.0.11        
  Core                        BigPipe (big_pipe)                                                                   Enabled   10.0.11        
  Core                        Block (block)                                                                        Enabled   10.0.11        
  Core                        Custom Block (block_content)                                                         Enabled   10.0.11        
  Core                        Breakpoint (breakpoint)                                                              Enabled   10.0.11        
  Core                        CKEditor 5 (ckeditor5)                                                               Enabled   10.0.11        
  Core                        Comment (comment)                                                                    Enabled   10.0.11        
  Core                        Configuration Manager (config)                                                       Enabled   10.0.11        
  Core                        Content Moderation (content_moderation)                                              Enabled   10.0.11        
  Core                        Contextual Links (contextual)                                                        Enabled   10.0.11        
  Field types                 Datetime (datetime)                                                                  Enabled   10.0.11        
  Core                        Database Logging (dblog)                                                             Enabled   10.0.11        
  Core                        Internal Dynamic Page Cache (dynamic_page_cache)                                     Enabled   10.0.11        
  Core                        Text Editor (editor)                                                                 Enabled   10.0.11        
  Core                        Field (field)                                                                        Enabled   10.0.11        
  Core                        Field UI (field_ui)                                                                  Enabled   10.0.11        
  Field types                 File (file)                                                                          Enabled   10.0.11        
  Core                        Filter (filter)                                                                      Enabled   10.0.11        
  Field types                 Image (image)                                                                        Enabled   10.0.11        
  Core                        Inline Form Errors (inline_form_errors)                                              Enabled   10.0.11        
  Multilingual                Language (language)                                                                  Enabled   10.0.11        
  Core                        Layout Builder (layout_builder)                                                      Enabled   10.0.11        
  Core                        Layout Discovery (layout_discovery)                                                  Enabled   10.0.11        
  Field types                 Link (link)                                                                          Enabled   10.0.11        
  Multilingual                Interface Translation (locale)                                                       Enabled   10.0.11        
  Core                        Media (media)                                                                        Enabled   10.0.11        
  Core                        Media Library (media_library)                                                        Enabled   10.0.11        
  Core                        Custom Menu Links (menu_link_content)                                                Enabled   10.0.11        
  Core                        Menu UI (menu_ui)                                                                    Enabled   10.0.11        
  Core                        MySQL (mysql)                                                                        Enabled   10.0.11        
  Core                        Node (node)                                                                          Enabled   10.0.11        
  Field types                 Options (options)                                                                    Enabled   10.0.11        
  Core                        Internal Page Cache (page_cache)                                                     Enabled   10.0.11        
  Core                        Path (path)                                                                          Enabled   10.0.11        
  Core                        Path alias (path_alias)                                                              Enabled   10.0.11        
  Core                        Responsive Image (responsive_image)                                                  Enabled   10.0.11        
  Web services                RESTful Web Services (rest)                                                          Enabled   10.0.11        
  Web services                Serialization (serialization)                                                        Enabled   10.0.11        
  Core                        System (system)                                                                      Enabled   10.0.11        
  Core                        Taxonomy (taxonomy)                                                                  Enabled   10.0.11        
  Field types                 Telephone (telephone)                                                                Enabled   10.0.11        
  Field types                 Text (text)                                                                          Enabled   10.0.11        
  Core                        Toolbar (toolbar)                                                                    Enabled   10.0.11        
  Core                        Update Manager (update)                                                              Enabled   10.0.11        
  Core                        User (user)                                                                          Enabled   10.0.11        
  Core                        Views (views)                                                                        Enabled   10.0.11        
  Core                        Views UI (views_ui)                                                                  Enabled   10.0.11        
  Core                        Workflows (workflows)                                                                Enabled   10.0.11        
  Administration              Admin Toolbar (admin_toolbar)                                                        Enabled   3.4.2          
