Name,Description
ACCESIBLE,"Que está al alcance de una persona, sin valerse de medio alguno y sin barreras físicas de por medio."
ACCIDENTE,"no deseado, incluidos los descuidos y las fallas de equipos, que da por resultado la muerte, una lesión personal, un daño a la propiedad o deterioro ambiental."
ACOMETIDA,"Derivación de la red local del servicio respectivo, que llega hasta el registro de corte del inmueble. En edificios de propiedad horizontal o condominios, la acometida llega hasta el registro de corte general."
ACOMETIDA EN BAJA TENSIÓN,Parte de la instalación comprendida entre la red de distribución de la empresa y la caja o cajas generales de protección para suministros en baja tensión.
ACOMETIDA EN ALTA TENSIÓN,"Es la parte de la instalación comprendida entre la red existente y el primer elemento de la estación transformadora, seccionamiento, protección o equipo de medida."
ACREDITACIÓN,"Procedimiento mediante el cual se reconoce la competencia técnica y la idoneidad de organismos de certificación e inspección, así como laboratorios de ensayo y de metrología."
ACTO INSEGURO,Violación de una norma de seguridad ya definida.
ADMINISTRACIÓN DE RIESGOS,"La aplicación sistemática de políticas administrativas, procedimientos y prácticas de trabajo, para minimizar o controlar el riesgo."
AISLADOR,"Elemento de mínima conductividad eléctrica, diseñado de tal forma que permita dar soporte rígido o flexible a conductores o a equipos eléctricos y aislarlos eléctricamente de otros conductores o de tierra."
AISLAMIENTO ELÉCTRICO BÁSICO,Aislamiento aplicado a las partes vivas para prevenir choque eléctrico.
AISLAMIENTO FUNCIONAL,Es el necesario para el funcionamiento normal de un aparato y la protección contra contactos directos.
AISLAMIENTO REFORZADO,Sistema de aislamiento único que se aplica a las partes vivas peligrosas y provee un grado de protección contra el choque eléctrico y es equivalente al doble aislamiento.
AISLAMIENTO SUPLEMENTARIO,"Aislamiento independiente aplicado de manera adicional al aislamiento básico, con el objeto de brindar protección contra choque eléctrico en caso de falla del aislamiento básico."
AISLANTE ELÉCTRICO,Material de baja conductividad eléctrica que puede ser tomado como no conductor o aislador.
ALAMBRE,"Hilo o filamento de metal, trefilado o laminado, para conducir corriente eléctrica."
ALAMBRE DURO,"Aquel que ha sido trefilado en frío hasta su tamaño final, de manera que se acerque a la máxima resistencia a la tracción obtenible."
ALAMBRE SUAVE O BLANDO,Aquel que ha sido trefilado o laminado hasta su tamaño final y que luego es recocido para aumentar la elongación.
ALTA CONCENTRACIÓN DE PERSONAS,Cuando se pueden concentrar 100 ó mas personas en cada piso o nivel o más de 500 personas en todo el edificio.
ALTA TENSIÓN,Es todo suministro con tensión igual o superior a 115 kV.
AMBIENTE ELECTROMAGNÉTICO,La totalidad de los fenómenos electromagnéticos existentes en un sitio dado.
AMBIENTES MODERADOS,"Se refiere a ambientes con estructuras expuestas a ciclos de humedecimiento y secado, con estructuras en contacto con agua dulce en movimiento, ambientes rurales lluviosos, ambientes urbanos sin alta condensación de gases agresivos y con estructuras en contacto con suelos no agresivos al concreto."
AMBIENTES SEVEROS,"Se refiere a ambientes marinos, salinos o con microclima industrial, ambientes urbanos con alta condensación de gases agresivos y con estructuras en contacto con suelos también agresivos."
AMPERIO,Unidad de intensidad de la corriente eléctrica equivalente al paso de un culombio por segundo.
ANÁLISIS DE RIESGOS,"Conjunto de técnicas para identificar, clasificar y evaluar los factores de riesgo. Es el estudio de consecuencias nocivas o perjudiciales, vinculadas a exposiciones reales o potenciales."
APARATO DE MEDIDA,Instrumento destinado a cuantificar o registrar las unidades eléctricas.
APOYO,"Nombre genérico dado al dispositivo de soporte de conductores y aisladores de las líneas o redes aéreas. Pueden ser postes, torres u otro tipo de estructura."
ARCO ELÉCTRICO,"Haz luminoso producido por el flujo de corriente eléctrica a través de un medio aislante, que produce radiación y gases calientes."
AVISO DE SEGURIDAD,"Advertencia de prevención o actuación, fácilmente visible, utilizada con el propósito de informar, exigir, restringir o prohibir."
BAJA TENSIÓN,Todo suministro con tensión inferior a 1 Kv.
BALIZA,"Señal fija de aeronavegación, que permite la visión diurna o nocturna de un conductor de fase o del cable de guarda."
BATERÍA DE ACUMULADORES,Equipo que contiene una o más celdas electroquímicas recargables.
BIL,Nivel básico de aislamiento ante impulsos tipo rayo.
BOBINA,"Arrollamiento de un cable conductor alrededor de un cilindro sólido o hueco, con lo cual y debido a la especial geometría obtiene importantes características magnéticas."
BOMBILLA,"Dispositivo eléctrico que suministra el flujo luminoso, por transformación de energía eléctrica. 
Puede ser incandescente si emite luz por calentamiento o luminiscente si hay pasó de corriente a través de un gas.
"
BORNE,"Cada uno de los botones de metal en que suelen terminar ciertas máquinas y aparatos eléctricos, y a los cuales se unen los hilos conductores."
BORNE DE TIERRA,Borne que está conectado a la puesta de tierra.
BÓVEDA,"Encerramiento dentro de un edificio con acceso sólo para personas calificadas, reforzado para resistir el fuego, sobre o bajo el nivel del terreno, que aloja transformadores de potencia para uso interior aislados en aceite mineral, secos de mas de 112,5 kVA o de tensión nominal mayor a 35 kV. Posee aberturas controladas (para acceso y ventilación) y selladas (para entrada y salida de canalizaciones y conductores)."
CABLE,Conjunto de alambres sin aislamiento entre sí y entorchado por medio de capas concéntricas.
CABLE APANTALLADO,Cable con una envoltura conductora alrededor del aislamiento que le sirve como protección electromecánica. Es lo mismo que cable blindado.
CABLE PORTÁTIL DE POTENCIA,"Cable extraflexible, usado para conectar equipos móviles o estacionarios en minas, a una fuente de energía eléctrica.
"
CAJA GENERAL DE PROTECCIÓN,Caja en la que se alojan los elementos de protección de la línea repartidora. Señala el principio de la propiedad de las instalaciones eléctricas de los clientes.
CALIBRACIÓN,"Diagnóstico sobre las condiciones de operación de un equipo de medición y los ajustes, si son necesarios, para garantizar la precisión y exactitud de las medidas que con el mismo se generan."
CALIDAD,"La totalidad de las características de un ente que le confieren la aptitud para satisfacer necesidades explícitas e implícitas. Es un conjunto de cualidades o atributos, como disponibilidad, precio, confiabilidad, durabilidad, seguridad, continuidad, consistencia, respaldo y percepción."
CARGA,La potencia eléctrica requerida para el funcionamiento de uno o varios equipos eléctricos o la potencia que transporta un circuito.
CARGA NORMALIZADA,"En referencia a cercas eléctricas. Es la carga que comprende una resistencia no inductiva de 500 ohmios ± 2,5 ohmios y una resistencia variable, la cual es ajustada para maximizar la energía de impulso en la resistencia."
CARGA TOTAL DE UN EDIFICIO,"Suma de la carga eléctrica correspondiente a un conjunto de viviendas, a los servicios generales del edificio y las correspondientes a los locales comerciales e industriales."
CARGABILIDAD,"Límite térmico dado en capacidad de corriente, para líneas de transporte de energía, transformadores, etc."
CAPACIDAD DE CORRIENTE,"Corriente máxima que puede transportar continuamente un conductor en las condiciones de uso, sin superar la temperatura nominal de servicio."
CAPACIDAD NOMINAL,"El conjunto de características eléctricas y mecánicas asignadas a un equipo o sistema eléctrico por el diseñador, para definir su funcionamiento bajo unas condiciones especificas."
CAPACIDAD O POTENCIA INSTALABLE,"Se considera como capacidad instalable, la capacidad en kVA que puede soportar la acometida a tensión nominal de la red, sin que se eleve la temperatura por encima de 60 ºC en cualquier punto o la carga máxima que soporta la protección de sobrecorriente de la acometida, cuando exista."
CAPACIDAD O POTENCIA INSTALADA,"Es la sumatoria de las cargas en kVA continuas y no continuas, diversificadas, previstas para una instalación de uso final. Igualmente, es la potencia nominal de una central de generación, subestación, línea de transmisión o circuito de la red de distribución."
CENTRAL O PLANTA DE GENERACIÓN,"Conjunto de equipos electromecánicos debidamente instalados y recursos energéticos destinados a producir energía eléctrica, cualquiera que sea el procedimiento empleado o la fuente de energía primaria utilizada."
CENTRO DE TRANSFORMACIÓN,Local en que se alojan uno o varios transformadores necesarios para la transformación de energía eléctrica de media a baja tensión.
CERCA ELÉCTRICA,"Barrera para impedir el paso de personas o animales, que forma un circuito de uno o varios conductores sostenidos con aisladores, a una altura tal, que no reciban descargas peligrosas los animales ni las personas."
CERTIFICACIÓN,"Procedimiento mediante el cual un organismo expide por escrito o por un sello de conformidad, que un producto, un proceso o servicio cumple un reglamento técnico o una(s) norma(s) de fabricación."
CERTIFICACIÓN PLENA,"Proceso de certificación del cumplimiento de los requisitos establecidos en el RETIE a una instalación eléctrica, el cual consiste en la declaración de cumplimiento suscrita por la persona calificada responsable de la construcción de la instalación, acompañada del aval de cumplimiento mediante un dictamen de inspección, previa realización de la inspección de comprobación efectuada por inspector(es) de un organismo de inspección debidamente acreditado."
CERTIFICADO DE CONFORMIDAD,"Documento emitido conforme a las reglas de un sistema de certificación, en el cual se puede confiar razonablemente que un producto, proceso o servicio es conforme con una norma, especificación técnica u otro documento normativo específico."
CIRCUITO ELÉCTRICO,"Lazo cerrado formado por un conjunto de elementos, dispositivos y equipos eléctricos, alimentados por la misma fuente de energía y con las mismas protecciones contra sobretensiones y sobrecorrientes. No se toman los cableados internos de equipos como circuitos."
CLAVIJA,Dispositivo que por inserción en un tomacorriente establece una conexión eléctrica entre los conductores de un cordón flexible y los conductores conectados permanentemente al tomacorriente.
COMITÉ TÉCNICO DE NORMALIZACIÓN,"Grupo de personas con diferentes intereses sobre un tema, que se reúnen regular y voluntariamente con el fin de identificar necesidades, analizar documentos y elaborar normas técnicas."
COMPATIBILIDAD ELECTROMAGNÉTICA,"Es la capacidad de un equipo o sistema para funcionar satisfactoriamente en su ambiente electromagnético, sin dejarse afectar ni afectar a otros equipos por energía electromagnética radiada o conducida."
CONDENACIÓN,Bloqueo de un aparato de corte por medio de un candado o de una tarjeta.
CONDICIÓN INSEGURA,Circunstancia potencialmente riesgosa que está presente en el ambiente de trabajo.
CONDUCTOR ACTIVO,"Aquella parte destinada, en su condición de operación normal, a la transmisión de electricidad y por tanto sometidas a una tensión en servicio normal."
CONDUCTOR A TIERRA,"También llamado conductor del electrodo de puesta a tierra, es aquel que conecta un sistema o circuito eléctrico intencionalmente a una puesta a tierra."
CONDUCTOR ENERGIZADO,Todo aquel que no está conectado a tierra.
CONDUCTOR NEUTRO,Conductor activo conectado intencionalmente al punto neutro de un transformador o instalación y que contribuye a cerrar un circuito de corriente.
CONEXIÓN EQUIPOTENCIAL,"Conexión eléctrica entre dos o más puntos, de manera que cualquier corriente que pase, no genere una diferencia de potencial sensible entre ambos puntos."
CONFIABILIDAD,"Capacidad de un dispositivo, equipo o sistema para cumplir una función requerida, en unas condiciones y tiempo dados. Equivale a fiabilidad."
CONFORMIDAD,"Cumplimiento de un producto, proceso o servicio frente a uno o varios requisitos o prescripciones."
CONSENSO,"Acuerdo general caracterizado porque no hay oposición sostenida a asuntos esenciales, de cualquier parte involucrada en el proceso, y que considera las opiniones de todas las partes y reconcilia las posiciones divergentes, dentro del ámbito del bien común e interés general."
CONSIGNACIÓN,"Conjunto de operaciones destinadas a abrir, bloquear y formalizar la intervención sobre un circuito."
CONTACTO DIRECTO,Es el contacto de personas o animales con conductores activos de una instalación eléctrica.
CONTACTO ELÉCTRICO,"Acción de unión de dos elementos con el fin de cerrar un circuito. Puede ser de frotamiento, de rodillo, líquido o de presión."
